timestamp,domain,resolution_mode,dns_server_ip,step,response_type,rtt_ms,total_time_ms,cache_status
2025-10-28 11:22:26,afresnohomeinspector.com,iterative,198.41.0.4,ROOT,REFERRAL,170.33,-,MISS
2025-10-28 11:22:26,afresnohomeinspector.com,iterative,192.41.162.30,TLD/AUTH,REFERRAL,166.22,-,MISS
2025-10-28 11:22:26,afresnohomeinspector.com,iterative,67.225.203.78,TLD/AUTH,ANSWER,339.93,1327.20,MISS
2025-10-28 11:22:27,pieceinch.com,iterative,198.41.0.4,ROOT,REFERRAL,186.94,-,MISS
2025-10-28 11:22:27,pieceinch.com,iterative,192.41.162.30,TLD/AUTH,REFERRAL,175.42,-,MISS
2025-10-28 11:22:27,pieceinch.com,iterative,108.162.194.39,TLD/AUTH,ANSWER,73.26,436.09,MISS
2025-10-28 11:22:28,australiatradenow.com,iterative,198.41.0.4,ROOT,REFERRAL,165.87,-,MISS
2025-10-28 11:22:28,australiatradenow.com,iterative,192.41.162.30,TLD/AUTH,REFERRAL,172.74,-,MISS
2025-10-28 11:22:28,australiatradenow.com,iterative,205.251.192.250,TLD/AUTH,ANSWER,70.42,409.92,MISS
2025-10-28 11:22:28,diamondknot.com,iterative,198.41.0.4,ROOT,REFERRAL,216.86,-,MISS
2025-10-28 11:22:28,diamondknot.com,iterative,192.41.162.30,TLD/AUTH,REFERRAL,155.14,-,MISS
2025-10-28 11:22:28,diamondknot.com,iterative,97.74.102.13,TLD/AUTH,ANSWER,195.41,568.03,MISS
2025-10-28 11:22:29,amorefieldlife.com,iterative,198.41.0.4,ROOT,REFERRAL,169.22,-,MISS
2025-10-28 11:22:29,amorefieldlife.com,iterative,192.41.162.30,TLD/AUTH,REFERRAL,170.11,-,MISS
2025-10-28 11:22:29,amorefieldlife.com,iterative,162.159.24.80,TLD/AUTH,ANSWER,82.07,422.25,MISS
2025-10-28 11:22:29,sheltercoveinn.com,iterative,198.41.0.4,ROOT,REFERRAL,187.96,-,MISS
2025-10-28 11:22:29,sheltercoveinn.com,iterative,192.41.162.30,TLD/AUTH,REFERRAL,194.32,-,MISS
2025-10-28 11:22:29,sheltercoveinn.com,iterative,64.98.148.137,TLD/AUTH,REFERRAL,305.71,-,MISS
2025-10-28 11:22:29,sheltercoveinn.com,iterative,216.40.47.201,TLD/AUTH,REFERRAL,310.26,-,MISS
2025-10-28 11:22:29,sheltercoveinn.com,iterative,64.98.148.138,TLD/AUTH,REFERRAL,282.93,-,MISS
2025-10-28 11:22:29,sheltercoveinn.com,iterative,216.40.47.202,TLD/AUTH,REFERRAL,317.73,-,MISS
2025-10-28 11:22:29,sheltercoveinn.com,iterative,64.98.148.139,TLD/AUTH,REFERRAL,289.70,-,MISS
2025-10-28 11:22:29,sheltercoveinn.com,iterative,192.48.79.30,TLD/AUTH,REFERRAL,153.34,-,MISS
2025-10-28 11:22:29,sheltercoveinn.com,iterative,192.54.112.30,TLD/AUTH,NO_RESPONSE,timeout,-,MISS
2025-10-28 11:22:29,sheltercoveinn.com,iterative,192.31.80.30,TLD/AUTH,NO_RESPONSE,timeout,-,MISS
2025-10-28 11:22:29,sheltercoveinn.com,iterative,192.33.14.30,TLD/AUTH,REFERRAL,273.12,-,MISS
2025-10-28 11:22:29,sheltercoveinn.com,iterative,192.35.51.30,TLD/AUTH,REFERRAL,177.74,-,MISS
2025-10-28 11:22:29,sheltercoveinn.com,iterative,170.247.170.2,ROOT,REFERRAL,268.84,-,MISS
2025-10-28 11:22:29,sheltercoveinn.com,iterative,192.5.6.30,TLD/AUTH,REFERRAL,151.90,-,MISS
2025-10-28 11:22:29,sheltercoveinn.com,iterative,192.26.92.30,TLD/AUTH,REFERRAL,179.09,-,MISS
2025-10-28 11:22:29,sheltercoveinn.com,iterative,192.12.94.30,TLD/AUTH,REFERRAL,171.29,-,MISS
